# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/scratch/lukens/Assignment_2_Genome/genomic.gtf" "-o" "gene_counts.txt" "-T" "8" "-t" "exon" "-g" "gene_id" "-s" "2" "SRR10551657_1.fastqAligned.out.bam" "SRR10551658_1.fastqAligned.out.bam" "SRR10551659_1.fastqAligned.out.bam" "SRR10551660.fastqAligned.out.bam" "SRR10551661.fastqAligned.out.bam" "SRR10551662.fastqAligned.out.bam" "SRR10551663_1.fastqAligned.out.bam" "SRR10551664_1.fastqAligned.out.bam" "SRR10551665_1.fastqAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10551657_1.fastqAligned.out.bam	SRR10551658_1.fastqAligned.out.bam	SRR10551659_1.fastqAligned.out.bam	SRR10551660.fastqAligned.out.bam	SRR10551661.fastqAligned.out.bam	SRR10551662.fastqAligned.out.bam	SRR10551663_1.fastqAligned.out.bam	SRR10551664_1.fastqAligned.out.bam	SRR10551665_1.fastqAligned.out.bam
YAL042W	NC_001133.9	61316	62563	+	1248	31	22	21	43	48	33	53	45	43
YAL041W	NC_001133.9	62840	65404	+	2565	23	14	10	49	48	14	45	51	46
YAL040C	NC_001133.9	65778	67520	-	1743	15	8	9	45	38	30	46	37	41
YAL039C	NC_001133.9	68716	69525	-	810	43	31	24	51	54	25	35	52	45
YAL038W	NC_001133.9	71786	73288	+	1503	362	219	288	1230	1343	662	2615	2616	2411
YAL037C-A	NC_001133.9	73426	73518	-	93	1	0	1	3	2	1	2	0	2
YAL037W	NC_001133.9	74020	74823	+	804	3	2	1	3	9	7	10	22	23
YAL036C	NC_001133.9	75043	76152	-	1110	11	9	6	34	37	15	22	17	18
YAL035W	NC_001133.9	76427	79435	+	3009	268	170	198	268	436	100	130	187	178
YAL034W-A	NC_001133.9	79718	80587	+	870	6	4	5	14	10	4	8	7	3
YAL034C	NC_001133.9	80710	81951	-	1242	191	115	150	77	108	34	97	94	101
YAL033W	NC_001133.9	82706	83227	+	522	11	8	4	24	20	6	5	10	15
YAL032C	NC_001133.9	83335	84474	-	1140	11	12	8	30	31	20	31	38	35
YAL031C	NC_001133.9	84749	87031	-	2283	36	16	26	50	53	33	89	86	83
YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	41	36	38	59	63	37	47	58	54
YAL029C	NC_001133.9	87855	92270	-	4416	84	47	50	243	128	88	113	162	161
YAL028W	NC_001133.9	92900	94486	+	1587	12	11	15	4	13	3	9	11	11
YAL027W	NC_001133.9	94687	95472	+	786	14	9	14	13	18	6	19	18	19
YAL026C	NC_001133.9	95630	99697	-	4068	36	18	21	106	74	38	67	70	89
YNCA0001W	NC_001133.9	99305	99868	+	564	7	4	3	14	7	10	10	18	12
YAL025C	NC_001133.9	100225	101145	-	921	20	6	11	60	34	13	13	31	13
YAL024C	NC_001133.9	101565	105872	-	4308	26	14	9	59	31	28	27	33	17
YAL023C	NC_001133.9	106272	108551	-	2280	73	58	75	147	150	124	59	83	69
YAL022C	NC_001133.9	108877	110430	-	1554	18	8	15	27	20	23	23	33	28
YAL021C	NC_001133.9	110846	113359	-	2514	18	12	13	69	36	59	74	76	63
YAL020C	NC_001133.9	113614	114615	-	1002	4	1	3	8	9	12	17	16	6
YAL019W	NC_001133.9	114919	118314	+	3396	43	29	33	94	115	47	61	67	69
YAL018C	NC_001133.9	118564	119541	-	978	3	1	0	0	5	0	0	0	1
YAL017W	NC_001133.9	120225	124295	+	4071	155	92	112	236	172	126	306	305	350
YAL016W	NC_001133.9	124879	126786	+	1908	125	81	99	236	157	134	182	220	182
YAL015C	NC_001133.9	126903	128102	-	1200	12	8	15	23	20	11	15	17	8
YAL014C	NC_001133.9	128252	129019	-	768	19	7	11	17	20	16	10	19	12
YAL013W	NC_001133.9	129270	130487	+	1218	28	19	22	16	25	22	17	23	19
YAL012W	NC_001133.9	130799	131983	+	1185	65	66	58	100	96	60	14	18	15
YAL011W	NC_001133.9	132199	134076	+	1878	44	41	34	24	59	3	16	30	28
YAL010C	NC_001133.9	134184	135665	-	1482	10	5	11	29	26	9	12	16	12
YAL009W	NC_001133.9	135854	136633	+	780	15	5	7	34	29	12	18	24	17
YAL008W	NC_001133.9	136914	137510	+	597	34	28	31	59	54	36	49	80	70
YAL007C	NC_001133.9	137698	138345	-	648	35	28	19	108	80	44	21	13	23
YNCA0002W	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	1	0	0	1	0	0	0	0	2
YAL005C	NC_001133.9	139503	141431	-	1929	2004	1515	1755	960	1101	486	557	771	660
YAL003W	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	133	59	72	323	380	165	199	226	263
YNCA0003W	NC_001133.9	142367	142468	+	102	6	5	11	12	10	16	19	17	15
YAL002W	NC_001133.9	143707	147531	+	3825	34	21	20	36	33	23	62	71	80
YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	59	39	45	147	120	49	116	124	137
YAR002W	NC_001133.9	152257	153876	+	1620	25	22	26	64	44	20	39	47	43
YAR002C-A	NC_001133.9	154065	154724	-	660	50	30	33	171	116	77	45	31	49
YAR003W	NC_001133.9	155005	156285	+	1281	8	9	6	73	25	35	35	36	39
YAR007C	NC_001133.9	156754	158619	-	1866	45	31	37	112	55	51	50	62	63
YAR008W	NC_001133.9	158966	159793	+	828	12	7	4	43	29	11	14	27	21
YAR009C	NC_001133.9	160597	164187	-	3591	0	0	0	0	0	0	0	0	0
YAR010C	NC_001133.9	164544	165866	-	1323	0	0	0	0	0	0	0	0	0
YNCA0004W	NC_001133.9	166267	166339	+	73	0	0	0	0	0	0	0	0	0
YAR014C	NC_001133.9	166742	168871	-	2130	24	12	10	74	41	26	46	64	74
YAR015W	NC_001133.9	169375	170295	+	921	29	18	29	195	120	106	74	78	71
YAR018C	NC_001133.9	170396	171703	-	1308	4	4	5	5	11	6	7	7	6
YAR019C	NC_001133.9	172211	175135	-	2925	22	13	12	25	22	14	26	34	42
YAR020C	NC_001133.9	176856	177023	-	168	0	0	0	1	2	1	4	0	2
YAR023C	NC_001133.9	179281	179820	-	540	7	7	6	4	4	9	11	10	9
YNCA0005W	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	0	0	0	0	0	1	0	0	0
YNCA0006C	NC_001133.9	182522	182603	-	82	0	0	0	0	0	0	0	0	0
YAR027W	NC_001133.9	183770	184477	+	708	11	7	8	53	39	31	1	0	4
YAR028W	NC_001133.9	184892	185596	+	705	2	4	3	9	6	1	0	0	1
YAR029W	NC_001133.9	186321	186545	+	225	4	1	2	6	4	0	0	1	0
YAR031W	NC_001133.9	186836	187732	+	897	0	0	3	2	2	0	0	0	0
YAR033W	NC_001133.9	188107	188811	+	705	0	0	0	1	2	0	0	0	0
YAR035W	NC_001133.9	190193	192256	+	2064	5	7	11	8	12	15	5	0	3
YAR035C-A	NC_001133.9	192337	192417	-	81	4	2	1	0	1	0	0	0	2
YAR042W	NC_001133.9	192619	196185	+	3567	43	30	42	51	70	21	87	120	108
YAR050W	NC_001133.9	203403	208016	+	4614	11	11	11	18	14	6	19	21	17
YAR061W	NC_001133.9	218140	219145	+	1006	0	0	0	0	0	0	0	0	0
YAR064W	NC_001133.9	220198	220497	+	300	0	0	1	0	0	1	1	1	0
YAR066W	NC_001133.9	221049	221660	+	612	0	0	1	0	1	0	1	0	0
YAR068W	NC_001133.9	222406	222891	+	486	0	1	0	1	2	2	0	0	1
YAR071W	NC_001133.9	225460	226863	+	1404	0	0	0	1	0	0	0	0	0
YBL113C	NC_001134.8	280	2658	-	2379	5	2	1	1	2	1	6	8	3
YBL112C	NC_001134.8	2582	2899	-	318	0	0	0	0	0	0	0	0	0
YBL111C	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	1	0	0	0	0	0	0	0	0
YBL108C-A	NC_001134.8	7605	7733	-	129	0	0	0	0	0	0	0	0	0
YNCB0001W	NC_001134.8	9583	9666	+	84	0	0	0	0	1	0	0	0	0
YBL107C	NC_001134.8	9961	10551	-	591	53	22	26	60	64	18	20	41	41
YBL106C	NC_001134.8	10847	13879	-	3033	48	32	40	23	34	19	42	47	52
YBL105C	NC_001134.8	14241	17696	-	3456	76	51	65	102	78	55	144	173	164
YBL104C	NC_001134.8	18177	21293	-	3117	35	27	23	49	51	24	61	54	65
YBL103C	NC_001134.8	22076	23536	-	1461	52	39	43	68	42	26	31	38	51
YBL102W	NC_001134.8	24098	24745	+	648	41	30	40	54	39	18	29	31	33
YBL101C	NC_001134.8	24946	28299	-	3354	112	74	97	136	91	73	154	159	141
YBL100W-C	NC_001134.8	28427	28546	+	120	17	13	12	1	2	0	2	0	0
YBL100W-B	NC_001134.8	29935	35248	+	5314	14	10	8	20	19	3	32	35	42
YBL100W-A	NC_001134.8	29935	31251	+	1317	0	0	0	0	0	0	0	0	0
YNCB0002W	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	0	0	0	0	0	1	0	0	0
YBL099W	NC_001134.8	37053	38690	+	1638	2693	1874	2142	2384	2607	1220	963	1048	960
YBL098W	NC_001134.8	39145	40527	+	1383	27	26	20	50	48	31	32	31	37
YBL097W	NC_001134.8	40831	43095	+	2265	33	13	21	29	41	17	26	41	40
YBL095W	NC_001134.8	43277	44089	+	813	21	13	21	72	62	54	93	107	86
YBL093C	NC_001134.8	44256	44918	-	663	41	17	22	59	55	21	37	49	50
YBL092W	NC_001134.8	45978	46370	+	393	491	259	297	775	601	271	275	307	337
YBL091C-A	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	27	12	33	18	30	11	30	31	23
YBL091C	NC_001134.8	47363	48628	-	1266	344	235	307	261	317	132	146	180	147
YBL090W	NC_001134.8	48825	49358	+	534	59	36	51	110	91	45	36	53	48
YBL089W	NC_001134.8	49574	50953	+	1380	29	20	18	36	29	22	30	42	36
YBL088C	NC_001134.8	51019	59382	-	8364	96	49	48	125	120	63	161	159	188
YBL087C	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	92	61	55	172	103	91	61	91	74
YBL086C	NC_001134.8	61202	62602	-	1401	115	79	117	60	71	15	43	54	84
YBL085W	NC_001134.8	63876	66818	+	2943	77	55	55	107	109	32	66	80	92
YBL084C	NC_001134.8	67169	69445	-	2277	51	41	28	80	71	17	84	93	92
YBL082C	NC_001134.8	69751	71127	-	1377	18	13	15	40	27	30	38	27	34
YBL081W	NC_001134.8	71866	72972	+	1107	17	14	5	31	30	12	15	21	13
YBL080C	NC_001134.8	73070	74695	-	1626	28	13	18	30	24	15	14	19	24
YBL079W	NC_001134.8	75259	79767	+	4509	72	43	60	123	81	66	139	167	157
YBL078C	NC_001134.8	80378	80731	-	354	171	98	105	103	106	26	80	102	105
YBL076C	NC_001134.8	81043	84261	-	3219	179	111	102	398	186	237	211	184	235
YBL075C	NC_001134.8	84499	86448	-	1950	138	89	115	124	94	67	145	185	175
YBL074C	NC_001134.8	86722	87789	-	1068	8	9	6	19	12	7	20	11	16
YNCB0003W	NC_001134.8	88190	88277	+	88	2	3	4	11	13	7	7	5	10
YBL072C	NC_001134.8	88523	89125	-	603	131	82	84	345	176	165	114	134	147
YBL071C-B	NC_001134.8	89458	89556	-	99	0	0	1	0	2	1	0	0	0
YBL071W-A	NC_001134.8	89978	90226	+	249	6	3	5	17	11	2	9	4	4
YBL071C	NC_001134.8	90223	90531	-	309	20	9	16	14	24	6	17	17	15
YBL069W	NC_001134.8	90741	92030	+	1290	16	6	6	11	15	10	8	4	4
YBL068W	NC_001134.8	92414	93394	+	981	20	4	9	44	17	17	16	19	13
YBL067C	NC_001134.8	93639	95882	-	2244	83	63	45	110	116	58	103	141	125
YBL066C	NC_001134.8	96669	100115	-	3447	116	83	115	135	127	90	108	106	109
YBL064C	NC_001134.8	100371	101156	-	786	1223	878	1032	906	774	411	472	579	545
YBL063W	NC_001134.8	101886	105221	+	3336	45	32	28	51	55	16	32	44	45
YBL061C	NC_001134.8	105316	107406	-	2091	38	27	17	60	26	31	38	46	48
YBL060W	NC_001134.8	107932	109995	+	2064	46	23	23	30	32	6	34	35	37
YBL059C-A	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	120	85	78	120	113	28	35	36	43
YBL059W	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	48	25	27	51	38	18	7	17	16
YBL058W	NC_001134.8	111437	112708	+	1272	166	124	137	121	120	46	84	114	110
YBL057C	NC_001134.8	112801	113427	-	627	18	22	22	35	34	13	27	13	17
YBL056W	NC_001134.8	113762	115168	+	1407	75	44	38	134	80	84	118	140	121
YBL055C	NC_001134.8	115573	116829	-	1257	19	13	4	37	26	19	29	46	28
YBL054W	NC_001134.8	117589	119166	+	1578	13	7	4	26	19	15	24	20	18
YBL052C	NC_001134.8	119379	121874	-	2496	53	43	38	40	80	10	39	51	47
YBL051C	NC_001134.8	122753	124759	-	2007	138	82	118	145	139	58	176	191	223
YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	122	76	94	162	185	80	112	178	171
YBL049W	NC_001134.8	126828	127244	+	417	66	36	44	107	75	58	404	520	491
YBL048W	NC_001134.8	127299	127610	+	312	75	40	59	54	47	32	267	301	263
YBL047C	NC_001134.8	127895	132040	-	4146	244	172	221	194	182	116	238	250	275
YBL046W	NC_001134.8	132424	133749	+	1326	24	9	18	28	26	12	30	34	46
YBL045C	NC_001134.8	134143	135516	-	1374	935	679	715	780	731	416	445	496	498
YBL044W	NC_001134.8	135998	136366	+	369	1	1	0	1	0	0	0	0	1
YBL043W	NC_001134.8	136688	137461	+	774	132	86	80	181	172	63	47	48	35
YBL042C	NC_001134.8	138341	140260	-	1920	29	17	18	77	49	40	58	58	59
YBL041W	NC_001134.8	141247	141972	+	726	410	301	393	337	283	145	125	183	181
YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	56	44	45	104	118	53	33	43	45
YBL039W-B	NC_001134.8	143393	143572	+	180	64	55	51	41	37	15	26	32	25
YBL039C	NC_001134.8	143989	145728	-	1740	18	8	6	73	17	35	22	35	27
YBL038W	NC_001134.8	146187	146885	+	699	167	124	120	141	205	55	53	71	61
YBL037W	NC_001134.8	147209	150286	+	3078	16	11	12	32	17	20	20	25	25
YBL036C	NC_001134.8	150447	151220	-	774	36	28	38	105	90	34	40	74	72
YBL035C	NC_001134.8	151493	153610	-	2118	29	16	14	18	34	11	18	16	25
YBL034C	NC_001134.8	153848	158389	-	4542	33	38	26	84	68	35	55	61	67
YBL033C	NC_001134.8	158656	159693	-	1038	124	67	109	148	184	67	78	83	82
YBL032W	NC_001134.8	160184	161329	+	1146	34	32	27	34	28	17	26	25	16
YBL031W	NC_001134.8	161699	162715	+	1017	4	5	3	4	5	3	1	4	3
YBL030C	NC_001134.8	163041	163997	-	957	474	292	355	574	526	318	188	202	203
YBL029C-A	NC_001134.8	164488	164772	-	285	115	67	82	63	97	25	70	113	90
YBL029W	NC_001134.8	166134	167264	+	1131	223	135	176	203	250	57	297	334	405
YBL028C	NC_001134.8	167518	167838	-	321	57	48	40	59	65	14	24	19	22
YBL027W	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	208	122	127	634	491	324	253	316	311
YBL026W	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	35	24	22	52	45	12	20	25	37
YBL025W	NC_001134.8	171481	171918	+	438	6	3	5	19	15	10	8	15	9
YBL024W	NC_001134.8	172534	174588	+	2055	65	34	28	70	72	30	29	40	35
YBL023C	NC_001134.8	174920	177526	-	2607	22	9	19	34	20	23	32	22	27
YBL022C	NC_001134.8	177874	181275	-	3402	291	204	235	219	177	84	177	216	242
YBL021C	NC_001134.8	181660	182094	-	435	22	17	18	50	56	30	15	24	17
YBL020W	NC_001134.8	182401	184125	+	1725	60	53	42	155	95	83	64	88	81
YBL019W	NC_001134.8	184353	185915	+	1563	7	13	12	28	27	17	60	59	57
YBL018C	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	27	16	18	43	30	20	20	18	20
YBL017C	NC_001134.8	186844	191583	-	4740	200	136	159	360	231	197	286	333	308
YBL016W	NC_001134.8	192451	193512	+	1062	19	12	10	25	32	11	10	10	15
YBL015W	NC_001134.8	194122	195702	+	1581	337	230	278	254	277	135	69	67	82
YNCB0004W	NC_001134.8	197494	197567	+	74	0	0	1	0	1	0	0	0	0
YNCB0005C	NC_001134.8	197629	197699	-	71	0	0	0	0	0	0	0	0	0
YBL014C	NC_001134.8	199064	201748	-	2685	27	14	16	39	38	28	50	48	63
YBL013W	NC_001134.8	202056	203261	+	1206	6	1	8	2	2	4	9	6	4
YBL011W	NC_001134.8	203538	205817	+	2280	90	63	69	29	76	29	63	60	54
YBL010C	NC_001134.8	206107	206949	-	843	10	5	12	25	23	6	10	13	21
YBL009W	NC_001134.8	207194	209224	+	2031	15	16	11	15	9	7	12	8	6
YBL008W-A	NC_001134.8	209409	209648	+	240	1	1	0	1	1	0	0	0	1
YBL008W	NC_001134.8	209653	212175	+	2523	25	15	14	54	27	28	28	36	40
YBL007C	NC_001134.8	212632	216366	-	3735	219	137	151	122	144	74	181	170	187
YBL006C	NC_001134.8	216587	217129	-	543	32	34	22	72	57	54	32	39	38
YBL005W	NC_001134.8	217470	220400	+	2931	33	22	23	34	35	21	39	53	46
YBL005W-B	NC_001134.8	221330	226598	+	5269	0	0	0	0	0	0	0	0	0
YBL005W-A	NC_001134.8	221330	222652	+	1323	0	0	0	0	0	0	0	0	0
YNCB0006W	NC_001134.8	227075	227156	+	82	2	1	1	0	0	0	1	0	0
YBL004W	NC_001134.8	227636	235117	+	7482	84	70	75	196	121	120	198	224	246
YBL003C	NC_001134.8	235394	235792	-	399	420	302	290	418	339	178	195	240	265
YBL002W	NC_001134.8	236492	236887	+	396	179	133	106	422	243	242	178	227	201
YBL001C	NC_001134.8	237153	237467	-	315	202	162	203	151	139	66	62	85	82
YBR001C	NC_001134.8	238941	241283	-	2343	125	69	112	130	79	85	126	165	135
YBR002C	NC_001134.8	241708	242568	-	861	31	13	24	49	51	33	38	37	32
YBR003W	NC_001134.8	242809	244230	+	1422	42	32	38	91	71	71	69	68	68
YBR004C	NC_001134.8	244366	245667	-	1302	21	15	26	44	34	32	44	37	51
YBR005W	NC_001134.8	245906	246547	+	642	14	10	17	11	17	10	11	15	14
YBR006W	NC_001134.8	247010	248503	+	1494	82	66	68	180	122	102	180	179	183
YBR007C	NC_001134.8	248806	251016	-	2211	81	46	49	51	75	17	84	87	108
YBR008C	NC_001134.8	252563	254209	-	1647	36	29	39	98	79	90	59	61	56
YBR009C	NC_001134.8	255373	255684	-	312	558	332	310	479	332	180	103	124	180
YBR010W	NC_001134.8	256331	256741	+	411	509	338	386	465	325	208	186	220	259
YBR011C	NC_001134.8	257112	257975	-	864	472	259	266	640	482	432	295	328	302
YBR012W-B	NC_001134.8	259869	265140	+	5272	0	0	0	0	0	0	0	0	0
YBR012W-A	NC_001134.8	259869	261191	+	1323	0	0	0	0	0	0	0	0	0
YBR013C	NC_001134.8	265492	265881	-	390	8	3	1	28	11	2	11	8	9
YNCB0007W	NC_001134.8	266378	266450	+	73	0	0	0	0	0	0	0	0	0
YBR014C	NC_001134.8	266725	267336	-	612	51	30	29	64	72	23	22	24	34
YBR015C	NC_001134.8	267710	269503	-	1794	87	51	54	122	92	80	89	90	87
YBR016W	NC_001134.8	270247	270633	+	387	75	39	52	24	34	18	19	18	13
YBR017C	NC_001134.8	270947	273703	-	2757	34	24	24	80	45	44	55	45	55
YBR018C	NC_001134.8	274427	275527	-	1101	2	3	2	4	4	1	5	10	8
YBR019C	NC_001134.8	276253	278352	-	2100	10	12	6	6	5	12	19	21	16
YNCB0008W	NC_001134.8	276805	280645	+	3841	10	4	4	4	8	5	16	20	20
YBR020W	NC_001134.8	279021	280607	+	1587	0	0	0	0	0	0	0	0	0
YBR021W	NC_001134.8	281443	283344	+	1902	26	7	13	55	40	25	47	59	37
YBR022W	NC_001134.8	283738	284271	+	534	23	13	11	54	56	18	18	22	21
YBR023C	NC_001134.8	284428	287925	-	3498	48	26	28	115	61	73	70	71	73
YBR024W	NC_001134.8	289445	290350	+	906	135	91	102	97	109	38	46	84	84
YBR025C	NC_001134.8	290681	291865	-	1185	293	235	217	660	408	328	245	267	246
YBR026C	NC_001134.8	292877	294019	-	1143	65	26	33	133	104	58	71	97	103
YBR027C	NC_001134.8	294024	294356	-	333	9	8	10	7	17	2	7	5	4
YBR028C	NC_001134.8	294425	296002	-	1578	26	10	21	51	70	21	38	32	47
YBR029C	NC_001134.8	296369	297742	-	1374	20	18	18	90	60	40	68	68	67
YBR030W	NC_001134.8	298292	299950	+	1659	9	8	7	32	18	13	20	36	25
YBR031W	NC_001134.8	300166	301254	+	1089	126	75	82	156	119	91	56	72	60
YBR032W	NC_001134.8	301519	301821	+	303	0	1	2	2	3	5	1	2	1
YBR033W	NC_001134.8	301944	304703	+	2760	41	39	39	81	70	30	32	32	39
YBR034C	NC_001134.8	304930	305976	-	1047	24	12	19	72	34	39	24	32	37
YBR035C	NC_001134.8	306269	306955	-	687	124	114	122	159	128	107	81	137	127
YNCB0009C	NC_001134.8	307185	307345	-	161	84	71	61	97	87	173	82	85	73
YNCB0010W	NC_001134.8	307587	308887	+	1301	188	148	190	187	205	214	176	197	205
YBR036C	NC_001134.8	309081	310313	-	1233	84	44	68	157	94	138	120	136	108
YBR037C	NC_001134.8	310565	311452	-	888	33	16	40	36	30	21	24	27	33
YBR038W	NC_001134.8	311898	314789	+	2892	30	10	16	16	15	11	8	10	12
YBR039W	NC_001134.8	315575	316510	+	936	511	390	450	1063	797	442	382	429	458
YBR040W	NC_001134.8	316968	317864	+	897	6	1	2	10	12	3	0	3	4
YBR041W	NC_001134.8	318266	320275	+	2010	45	33	23	94	54	40	70	77	64
YBR042C	NC_001134.8	320416	321609	-	1194	17	11	9	36	28	28	39	31	31
YBR043C	NC_001134.8	321876	323945	-	2070	30	19	30	44	34	33	63	93	93
YBR044C	NC_001134.8	324341	326059	-	1719	70	36	53	103	89	45	57	67	71
YNCB0011C	NC_001134.8	326792	326865	-	74	0	0	1	0	0	0	0	0	4
YBR045C	NC_001134.8	328173	330092	-	1920	16	12	14	21	21	5	18	22	26
YBR046C	NC_001134.8	330507	331511	-	1005	69	33	52	120	73	48	74	84	86
YBR047W	NC_001134.8	331833	332360	+	528	65	53	55	187	155	49	58	78	64
YBR048W	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	72	30	41	150	71	82	41	47	50
YBR049C	NC_001134.8	334386	336818	-	2433	128	106	126	107	116	37	63	69	76
YBR050C	NC_001134.8	337183	338199	-	1017	188	121	144	23	39	6	22	23	16
YBR052C	NC_001134.8	338720	339352	-	633	298	247	293	209	200	106	57	72	108
YBR053C	NC_001134.8	339675	340751	-	1077	85	52	55	132	89	87	118	139	123
YBR054W	NC_001134.8	343101	344135	+	1035	541	334	378	2877	2123	1085	2647	3208	2828
YBR055C	NC_001134.8	344602	347301	-	2700	54	39	44	70	108	25	58	62	75
YNCB0012W	NC_001134.8	347603	347686	+	84	0	0	1	2	0	0	0	0	0
YBR056W	NC_001134.8	347879	349384	+	1506	215	169	223	193	122	103	112	168	149
YNCB0013W	NC_001134.8	350827	350898	+	72	0	0	0	0	0	0	0	0	0
YBR056W-A	NC_001134.8	351255	351455	+	201	7	2	9	39	30	27	7	5	9
YBR057C	NC_001134.8	352193	353293	-	1101	80	35	46	37	42	9	23	34	35
YBR058C	NC_001134.8	353672	356017	-	2346	49	28	21	79	54	37	64	64	67
YBR058C-A	NC_001134.8	356324	356566	-	243	53	26	33	46	71	16	20	37	39
YBR059C	NC_001134.8	356861	360187	-	3327	226	155	167	108	116	52	181	225	194
YBR060C	NC_001134.8	360652	362514	-	1863	35	23	27	43	50	13	19	22	32
YBR061C	NC_001134.8	364787	365719	-	933	16	9	6	27	29	18	9	28	15
YBR062C	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	23	23	34	38	56	18	23	31	40
YBR063C	NC_001134.8	366970	368184	-	1215	33	18	22	44	42	16	48	62	60
YBR065C	NC_001134.8	368584	369678	-	1095	46	25	25	54	38	14	46	71	64
YBR066C	NC_001134.8	370037	370699	-	663	11	12	9	19	28	5	5	18	9
YBR067C	NC_001134.8	372103	372735	-	633	29	15	26	226	202	103	61	77	68
YBR068C	NC_001134.8	373861	375690	-	1830	48	20	36	223	193	148	34	38	42
